"ticker","rsi","rs","price","price_change","price_change_ratio","price_change_ratio_1m","id","title","source","publish_date"
"FHS","57.2","","31000","0","0","0.062","11171960","Fahasa lãi ròng hơn 15,5 tỷ trong quý 1/2024, vừa chi 5 tỷ “tái sinh” nhà sách lâu đời nhất Việt Nam tại cung đường đắc địa Nguyễn Huệ","TCBS","2024-05-03 13:36:00"
"FIC","48.4","61","14200","300","0.022","0.136","11279402","FIC: Báo cáo tài chính quý 2/2024","TCBS","2024-08-02 15:43:00"
"FIC","49.3","50","13900","-100","-0.007","0.121","11277965","FIC: Báo cáo tài chính quý 2/2024 (công ty mẹ)","TCBS","2024-08-01 16:36:00"
"FIC","56.7","51","14700","-200","-0.013","0.122","11270271","FIC: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-26 15:00:00"
"FIC","47.3","33","12800","300","0.024","0.049","11245885","FIC: Nghị quyết Hội đồng quản trị","TCBS","2024-07-04 14:20:00"
"FIC","53.8","45","12400","0","0","0.033","11221796","FIC: Ký hợp đồng kiểm toán báo cáo tài chính năm 2024","TCBS","2024-06-19 13:14:00"
"FIC","52.7","38","12300","-100","-0.008","0.034","11210191","FIC: Nghị quyết Hội đồng quản trị","TCBS","2024-06-07 16:08:00"
"FIC","50.4","42","12100","0","0","-0.069","11180910","FIC: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","TCBS","2024-05-10 16:21:00"
"FIC","48.2","30","12300","400","0.034","0.07","11178027","FIC: Thông báo về việc chi trả cổ tức bằng tiền cho cổ đông Tổng công ty Vật liệu xây dựng Số 1 - CTCP","TCBS","2024-05-08 17:05:00"
"FIC","48.2","30","12300","400","0.034","0.07","11178030","FIC: Nghị quyết Hội đồng quản trị","TCBS","2024-05-08 17:03:00"
"FIC","48.2","30","12300","400","0.034","0.07","11177968","FIC: Thông báo ngày đăng ký cuối cùng để thực hiện quyền chi trả cổ tức năm 2023 bằng tiền cho cổ đông Tổng công ty Vật liệu xây dựng Số 1 - CTCP","TCBS","2024-05-08 16:32:00"
"FIC","49.3","44","11900","-100","-0.008","0.035","11175737","FIC: Thay đổi nhân sự","TCBS","2024-05-07 10:19:00"
"FIC","48.2","46","12000","100","0.008","0.043","11174712","FIC: Thay đổi nhân sự","TCBS","2024-05-06 16:14:00"
"FIC","51.4","52","11900","-300","-0.025","-0.017","11171734","FIC: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-05-03 11:05:00"
"FIC","47","25","12200","400","0.034","0.025","11170758","FIC: Báo cáo tài chính quý 1/2024","TCBS","2024-05-02 16:50:00"
"FIC","47","25","12200","400","0.034","0.025","11170708","FIC: Báo cáo tài chính quý 1/2024 (công ty mẹ)","TCBS","2024-05-02 16:37:00"
"FID","19.9","","1500","0","0","-0.118","11272249","FID: Báo cáo tài chính quý 2/2024","TCBS","2024-07-29 17:18:00"
"FID","19.9","","1500","0","0","-0.118","11272253","FID: Báo cáo tài chính quý 2/2024 (công ty mẹ)","TCBS","2024-07-29 17:18:00"
"FID","19.9","","1500","0","0","-0.118","11272265","FID: Biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo và kiểm soát của Quý II/2024","TCBS","2024-07-29 17:10:00"
"FID","19.9","","1500","0","0","-0.118","11272197","FID: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-29 16:22:00"
"FID","28.1","","1600","0","0","0","11266127","FID: Phúc đáp Công văn số 700 và 701 QĐ/SDGHN","TCBS","2024-07-23 17:10:00"
"FID","28.1","","1600","0","0","0","11264047","FID: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-07-22 14:51:00"
"FID","38","","1700","0","0","-0.056","11244782","FID: Giải trình chênh lệch LNST trong BCTC riêng soát xét năm 2023","TCBS","2024-07-03 17:08:00"
"FID","38","","1700","0","0","-0.056","11244783","FID: Giải trình chênh lệch LNST trong BCTC hợp nhấtđã soát xét năm 2023","TCBS","2024-07-03 17:07:00"
"FID","38","","1700","0","0","-0.056","11244745","FID: Quyết định đưa vào diện bị kiểm soát. Thông báo tình trạng chứng khoán của cổ phiếu","TCBS","2024-07-03 17:03:00"
"FID","38","","1700","0","0","-0.056","11244749","FID: Quyết định đưa vào diện bị cảnh báo","TCBS","2024-07-03 17:02:00"
"FID","38","","1700","0","0","-0.056","11233357","FID: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-07-01 17:11:00"
"FID","38","","1700","0","0","-0.056","11233363","FID: Báo cáo thường niên 2023","TCBS","2024-07-01 17:10:00"
"FID","38","","1700","0","0","-0.056","11232762","FID: Báo cáo tài chính năm 2023","TCBS","2024-07-01 11:06:00"
"FID","38","","1700","0","0","-0.056","11232764","FID: Báo cáo tài chính năm 2023 (Công ty mẹ)","TCBS","2024-07-01 11:03:00"
"FID","18.1","","1700","100","0.063","-0.15","11231676","FID: Đại hội đồng cổ đông thường niên năm 2024 lần đầu không đủ điều kiện tiến hành","TCBS","2024-06-28 16:10:00"
"FIR","29.8","","6530","-50","-0.008","-0.093","11275363","FIR:  Giải trình chênh lệch lợi nhuận sau thuế quý 2/2024 so với quý 2/2023","TCBS","2024-07-31 11:26:00"
"FIR","31.4","","6490","-280","-0.041","-0.099","11272283","FIR:  Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2024","TCBS","2024-07-29 17:05:00"
"FIR","52.3","","7530","-120","-0.016","0.16","11202812","FIR:  Giải trình chênh lệch lợi nhuận sau thuế bán niên năm 2024 so với cùng kỳ năm 2023","TCBS","2024-05-31 17:14:00"
"FIR","52.3","","7530","-120","-0.016","0.16","11202822","FIR:  Giải trình chênh lệch lợi nhuận sau thuế bán niên năm 2024 trước và sau soát xét","TCBS","2024-05-31 17:09:00"
